# Nifty 50 / Nifty Next 50 / Nifty 500 semi-annual reconstitution history
# (Mar 2023 -> Mar 2026).
#
# NIFTY50/NIFTYNEXT50 rows compiled 2026-07-05 from NSE/niftyindices.com press
# releases + Indian financial press (Business Standard, Business Today, ICICI
# Direct, Bajaj Broking, Tradebrains, Outlook Money, Investing.com).
#
# NIFTY500 rows added 2026-07-06 (SOTA Round Phase 3c) -- the granularity gap
# noted below has been CLOSED: all 7 press-release PDFs were downloaded
# directly from niftyindices.com/Press_Release/ and parsed with pdftotext
# -layout + a row-pattern regex (not WebSearch summaries, not hand-typed).
# Every cycle's exclude-count matched its include-count exactly (an internal
# consistency check reconstitutions always satisfy), and the 2025-02-21
# NIFTY500 list was spot-verified by eye against the raw PDF text before
# trusting the parser on the other 6. One correction found in the process:
# the Feb-2026 cycle's announce_date was 2026-02-24 (a news-article-publish-
# date proxy) -- the ACTUAL press release (ind_prs23022026.pdf) is dated
# 2026-02-23; all 12 NIFTYNEXT50 rows for that cycle were corrected to match.
#
# One source URL is disambiguated with a "_1" suffix (ind_prs17022023_1.pdf)
# -- niftyindices.com sometimes publishes an unrelated release (Nifty Fixed
# Income / debt index changes) under the "obvious" DDMMYYYY-guessed filename
# for the same date; the equity-indices release needed the _1 suffix (or, for
# 2026-02-23, was dated one day before the initially-guessed 2026-02-24).
# Confirmed via WebSearch before trusting either PDF's content.
#
# Scope/caveats (read before trusting a backtest verdict off this file):
#  - effective_date: some source articles state the convention inconsistently
#    ("effective from Sept 29, close of Sept 28" vs "effective Sept 30, close
#    of Sept 27") -- used whatever exact date each source/PDF stated. Worth
#    reconciling against niftyindices.com's reconstitution calendar before
#    treating a 1-day boundary as precise.
#  - announce_date for the Sept-2023 NIFTY50/NIFTYNEXT50 rows is a news-
#    publish-date proxy, not a confirmed press-release date (the NIFTY500 rows
#    for that same cycle use the PDF's own header date, 2023-08-17, which
#    happens to match).
#  - A corrupted duplicate ("13-Jul-23" HDFC/LTIMindtree, and a garbled
#    "30-Sep-23" Trent/BEL/DivisLab/LTIM entry that contradicted two
#    independent "no NIFTY50 change" sources for that cycle) was found on a
#    third-party site and excluded -- flagging in case it resurfaces elsewhere.
#  - March 2023, September 2023 and March 2026 legitimately had ZERO NIFTY50
#    changes (confirmed by 2+ independent sources each) -- absence of NIFTY50
#    rows for those cycles is a fact, not a gap.
announce_date,effective_date,index,symbol,action,source_url
2023-02-17,2023-03-31,NIFTYNEXT50,ABB,ADD,https://www.businesstoday.in/markets/stocks/story/nse-adds-adani-wilmar-adani-power-to-few-indices-paytm-gland-pharma-3-others-out-of-nifty-next-50-370678-2023-02-18
2023-02-17,2023-03-31,NIFTYNEXT50,ADANIWILMAR,ADD,https://www.businesstoday.in/markets/stocks/story/nse-adds-adani-wilmar-adani-power-to-few-indices-paytm-gland-pharma-3-others-out-of-nifty-next-50-370678-2023-02-18
2023-02-17,2023-03-31,NIFTYNEXT50,CANBK,ADD,https://www.business-standard.com/article/news-cm/adani-wilmar-varun-beverages-to-enter-nifty-next-50-index-123022000412_1.html
2023-02-17,2023-03-31,NIFTYNEXT50,PAGEIND,ADD,https://www.business-standard.com/article/news-cm/adani-wilmar-varun-beverages-to-enter-nifty-next-50-index-123022000412_1.html
2023-02-17,2023-03-31,NIFTYNEXT50,VBL,ADD,https://www.business-standard.com/article/news-cm/adani-wilmar-varun-beverages-to-enter-nifty-next-50-index-123022000412_1.html
2023-02-17,2023-03-31,NIFTYNEXT50,MPHASIS,DELETE,https://www.businesstoday.in/markets/stocks/story/nse-adds-adani-wilmar-adani-power-to-few-indices-paytm-gland-pharma-3-others-out-of-nifty-next-50-370678-2023-02-18
2023-02-17,2023-03-31,NIFTYNEXT50,BANDHANBNK,DELETE,https://www.businesstoday.in/markets/stocks/story/nse-adds-adani-wilmar-adani-power-to-few-indices-paytm-gland-pharma-3-others-out-of-nifty-next-50-370678-2023-02-18
2023-02-17,2023-03-31,NIFTYNEXT50,BIOCON,DELETE,https://www.businesstoday.in/markets/stocks/story/nse-adds-adani-wilmar-adani-power-to-few-indices-paytm-gland-pharma-3-others-out-of-nifty-next-50-370678-2023-02-18
2023-02-17,2023-03-31,NIFTYNEXT50,GLAND,DELETE,https://www.businesstoday.in/markets/stocks/story/nse-adds-adani-wilmar-adani-power-to-few-indices-paytm-gland-pharma-3-others-out-of-nifty-next-50-370678-2023-02-18
2023-02-17,2023-03-31,NIFTYNEXT50,PAYTM,DELETE,https://www.businesstoday.in/markets/stocks/story/nse-adds-adani-wilmar-adani-power-to-few-indices-paytm-gland-pharma-3-others-out-of-nifty-next-50-370678-2023-02-18
2023-08-17,2023-09-29,NIFTYNEXT50,PNB,ADD,https://www.businesstoday.in/markets/top-story/story/nifty-next-50-rejig-acc-nykaa-3-others-out-from-sept-29-pnb-tvs-3-others-included-394564-2023-08-17
2023-08-17,2023-09-29,NIFTYNEXT50,SHRIRAMFIN,ADD,https://www.businesstoday.in/markets/top-story/story/nifty-next-50-rejig-acc-nykaa-3-others-out-from-sept-29-pnb-tvs-3-others-included-394564-2023-08-17
2023-08-17,2023-09-29,NIFTYNEXT50,TRENT,ADD,https://www.businesstoday.in/markets/top-story/story/nifty-next-50-rejig-acc-nykaa-3-others-out-from-sept-29-pnb-tvs-3-others-included-394564-2023-08-17
2023-08-17,2023-09-29,NIFTYNEXT50,TVSMOTOR,ADD,https://www.businesstoday.in/markets/top-story/story/nifty-next-50-rejig-acc-nykaa-3-others-out-from-sept-29-pnb-tvs-3-others-included-394564-2023-08-17
2023-08-17,2023-09-29,NIFTYNEXT50,ZYDUSLIFE,ADD,https://www.businesstoday.in/markets/top-story/story/nifty-next-50-rejig-acc-nykaa-3-others-out-from-sept-29-pnb-tvs-3-others-included-394564-2023-08-17
2023-08-17,2023-09-29,NIFTYNEXT50,ACC,DELETE,https://www.business-standard.com/markets/news/nse-announces-five-additions-deletions-each-to-nifty-next-50-index-123082000263_1.html
2023-08-17,2023-09-29,NIFTYNEXT50,NYKAA,DELETE,https://www.business-standard.com/markets/news/nse-announces-five-additions-deletions-each-to-nifty-next-50-index-123082000263_1.html
2023-08-17,2023-09-29,NIFTYNEXT50,HDFCAMC,DELETE,https://www.business-standard.com/markets/news/nse-announces-five-additions-deletions-each-to-nifty-next-50-index-123082000263_1.html
2023-08-17,2023-09-29,NIFTYNEXT50,INDUSTOWER,DELETE,https://www.business-standard.com/markets/news/nse-announces-five-additions-deletions-each-to-nifty-next-50-index-123082000263_1.html
2023-08-17,2023-09-29,NIFTYNEXT50,PAGEIND,DELETE,https://www.business-standard.com/markets/news/nse-announces-five-additions-deletions-each-to-nifty-next-50-index-123082000263_1.html
2024-02-28,2024-03-28,NIFTY50,SHRIRAMFIN,ADD,https://in.investing.com/analysis/changes-in-nifty-50--other-constituents-announced-by-nse-effective-28-march-2024-200611936
2024-02-28,2024-03-28,NIFTY50,UPL,DELETE,https://in.investing.com/analysis/changes-in-nifty-50--other-constituents-announced-by-nse-effective-28-march-2024-200611936
2024-02-28,2024-03-28,NIFTYNEXT50,JIOFIN,ADD,https://upstox.com/news/market-news/stocks/nse-announces-changes-in-various-indices-check-new-additions-exclusions-of-nifty-50-nifty-next-50-and-nifty-500/article-112644/
2024-02-28,2024-03-28,NIFTYNEXT50,IRFC,ADD,https://upstox.com/news/market-news/stocks/nse-announces-changes-in-various-indices-check-new-additions-exclusions-of-nifty-50-nifty-next-50-and-nifty-500/article-112644/
2024-02-28,2024-03-28,NIFTYNEXT50,RECLTD,ADD,https://upstox.com/news/market-news/stocks/nse-announces-changes-in-various-indices-check-new-additions-exclusions-of-nifty-50-nifty-next-50-and-nifty-500/article-112644/
2024-02-28,2024-03-28,NIFTYNEXT50,PFC,ADD,https://upstox.com/news/market-news/stocks/nse-announces-changes-in-various-indices-check-new-additions-exclusions-of-nifty-50-nifty-next-50-and-nifty-500/article-112644/
2024-02-28,2024-03-28,NIFTYNEXT50,ADANIPOWER,ADD,https://upstox.com/news/market-news/stocks/nse-announces-changes-in-various-indices-check-new-additions-exclusions-of-nifty-50-nifty-next-50-and-nifty-500/article-112644/
2024-02-28,2024-03-28,NIFTYNEXT50,PIIND,DELETE,https://upstox.com/news/market-news/stocks/nse-announces-changes-in-various-indices-check-new-additions-exclusions-of-nifty-50-nifty-next-50-and-nifty-500/article-112644/
2024-02-28,2024-03-28,NIFTYNEXT50,PGHH,DELETE,https://upstox.com/news/market-news/stocks/nse-announces-changes-in-various-indices-check-new-additions-exclusions-of-nifty-50-nifty-next-50-and-nifty-500/article-112644/
2024-02-28,2024-03-28,NIFTYNEXT50,ADANIWILMAR,DELETE,https://upstox.com/news/market-news/stocks/nse-announces-changes-in-various-indices-check-new-additions-exclusions-of-nifty-50-nifty-next-50-and-nifty-500/article-112644/
